region,facet,level,variable,cluster_name,value,calculation_method,contributing_countries,regional_weight,normalization_applied
Europe,country,0,usage_count,,177316.0,sum,"AD,AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GG,GR,HR,HU,IE,IM,IS,IT,JE,KZ,LI,LT,LU,LV,MC,MD,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,SM,UA,XK",50.0,False
Europe,onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,48700732.57117237,weighted_sum,"AL,AM,AT,AZ,BE,BG,CH,CY,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SK,UA",173095.0,False
Europe,onet_task,0,onet_task_pct,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,2.529876312250941,weighted_average,"AL,AM,AT,AZ,BE,BG,CH,CY,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SK,UA",173095.0,True
Europe,onet_task,0,onet_task_count,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",88639340.51514246,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",176191.0,False
Europe,onet_task,0,onet_task_pct,"modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",4.430414355335848,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",176191.0,True
Europe,onet_task,0,onet_task_count,"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",61185937.03810147,weighted_sum,"AL,AM,AT,AZ,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",174692.0,False
Europe,onet_task,0,onet_task_pct,"modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",3.108201292053881,weighted_average,"AL,AM,AT,AZ,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",174692.0,True
Europe,onet_task,0,onet_task_count,none,122767013.585655,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",175698.0,False
Europe,onet_task,0,onet_task_pct,none,4.885656068936471,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA",175698.0,False
Europe,onet_task,0,onet_task_count,not_classified,744079523.758313,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA,XK",176309.0,False
Europe,onet_task,0,onet_task_pct,not_classified,38.03833043123153,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA,XK",176309.0,False
Europe,onet_task,0,onet_task_count,"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",109869992.89571723,weighted_sum,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA,XK",176087.0,False
Europe,onet_task,0,onet_task_pct,"write new programs or modify existing programs to meet customer requirements, using current programming languages and technologies.",5.485521966494406,weighted_average,"AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,LV,MD,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,UA,XK",176087.0,True
Europe,onet_task,0,onet_task_count,"write, design, or edit web page content, or direct others producing content.",6582161.367050915,weighted_sum,"AM,DE,ES,FR,GB,IT,NL,PL,UA",126560.0,False
Europe,onet_task,0,onet_task_pct,"write, design, or edit web page content, or direct others producing content.",0.4362345682223769,weighted_average,"AM,DE,ES,FR,GB,IT,NL,PL,UA",126560.0,True
Europe,onet_task,0,onet_task_count,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,18059719.33904442,weighted_sum,"AT,BE,CH,CZ,DE,DK,ES,FI,FR,GB,GR,IE,IT,NL,NO,PL,PT,RO,RS,SE,UA",161962.0,False
Europe,onet_task,0,onet_task_pct,analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,0.9843515988302978,weighted_average,"AT,BE,CH,CZ,DE,DK,ES,FI,FR,GB,GR,IE,IT,NL,NO,PL,PT,RO,RS,SE,UA",161962.0,True
Europe,onet_task,0,onet_task_count,assist students who need extra help with their coursework outside of class.,24649818.493469287,weighted_sum,"AT,BE,CH,DE,DK,ES,FI,FR,GB,IE,IT,NL,PL,PT,RO,SE,UA",153002.0,False
Europe,onet_task,0,onet_task_pct,assist students who need extra help with their coursework outside of class.,1.1755246936292585,weighted_average,"AT,BE,CH,DE,DK,ES,FI,FR,GB,IE,IT,NL,PL,PT,RO,SE,UA",153002.0,True
Europe,onet_task,0,onet_task_count,"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills.",6685082.468542038,weighted_sum,"AT,BE,CH,CZ,DE,ES,FR,GB,IT,NL,PL,SE,UA",143184.0,False
Europe,onet_task,0,onet_task_pct,"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills.",0.40936738421687635,weighted_average,"AT,BE,CH,CZ,DE,ES,FR,GB,IT,NL,PL,SE,UA",143184.0,True
Europe,onet_task,0,onet_task_count,conduct internet-based and library research.,6947089.19777121,weighted_sum,"AT,BE,DE,ES,FR,GB,IT,NL,PL,SE,UA",135776.0,False
Europe,onet_task,0,onet_task_pct,conduct internet-based and library research.,0.44334608651780594,weighted_average,"AT,BE,DE,ES,FR,GB,IT,NL,PL,SE,UA",135776.0,True
Europe,onet_task,0,onet_task_count,"conduct searches to find needed information, using such sources as the internet.",10995530.564726252,weighted_sum,"AT,BE,CH,DE,DK,ES,FR,GB,IT,NL,PL,PT,RO,SE,UA",149217.0,False
Europe,onet_task,0,onet_task_pct,"conduct searches to find needed information, using such sources as the internet.",0.6291579467531375,weighted_average,"AT,BE,CH,DE,DK,ES,FR,GB,IT,NL,PL,PT,RO,SE,UA",149217.0,True
Europe,onet_task,0,onet_task_count,confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,16794615.355500914,weighted_sum,"AT,BE,CH,CZ,DE,ES,FR,GB,HU,IE,IT,NL,NO,PL,PT,RO,RS,SE,UA",157308.0,False
Europe,onet_task,0,onet_task_pct,confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,0.924572688754427,weighted_average,"AT,BE,CH,CZ,DE,ES,FR,GB,HU,IE,IT,NL,NO,PL,PT,RO,RS,SE,UA",157308.0,True
Europe,onet_task,0,onet_task_count,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",41856290.57274019,weighted_sum,"AT,AZ,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,NL,NO,PL,PT,RO,RS,SE,SK,UA",171082.0,False
Europe,onet_task,0,onet_task_pct,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",2.025110945491737,weighted_average,"AT,AZ,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GB,GE,GR,HR,HU,IE,IT,KZ,LT,NL,NO,PL,PT,RO,RS,SE,SK,UA",171082.0,True
Europe,onet_task,0,onet_task_count,"develop briefings, brochures, multimedia presentations, web pages, promotional products, technical illustrations, and computer artwork for use in products, technical manuals, literature, newsletters, and slide shows.",11590733.182950214,weighted_sum,"AT,DE,ES,FR,GB,GR,IT,NL,PL,PT,SE,UA",137826.0,False
Europe,onet_task,0,onet_task_pct,"develop briefings, brochures, multimedia presentations, web pages, promotional products, technical illustrations, and computer artwork for use in products, technical manuals, literature, newsletters, and slide shows.",0.6890973377472652,weighted_average,"AT,DE,ES,FR,GB,GR,IT,NL,PL,PT,SE,UA",137826.0,True
