geo_id,geography,date_start,date_end,platform_and_product,facet,level,variable,cluster_name,value
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,directive,57.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,41.007194244604314
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,learning,26.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,18.705035971223023
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,not_classified,23.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,not_classified,16.546762589928058
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,task iteration,33.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,23.741007194244602
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,"Help edit, improve, and create professional written documents and communications",15.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,"Help edit, improve, and create professional written documents and communications",10.79136690647482
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,Provide comprehensive software development assistance across multiple programming domains and technologies,17.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,Provide comprehensive software development assistance across multiple programming domains and technologies,12.23021582733813
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_count,not_classified,107.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),request,2,request_pct,not_classified,76.97841726618705
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),state_us,0,usage_count,,139.0
AK,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),state_us,0,usage_pct,,0.06676272814601344
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,directive,461.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,directive,37.3581847649919
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,feedback loop,129.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,feedback loop,10.453808752025932
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,learning,275.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,learning,22.285251215559157
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,none,38.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,none,3.079416531604538
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,task iteration,270.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,task iteration,21.88006482982172
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_count,validation,61.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),collaboration,0,collaboration_pct,validation,4.943273905996758
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,16.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,1.2965964343598055
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",18.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"design, build, or maintain web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",1.4586709886547813
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_count,"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",29.0
AL,state_us,2025-08-04,2025-08-11,Claude AI (Free and Pro),onet_task,0,onet_task_pct,"diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",2.3500810372771475
